"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: abril 2016"
"Proceso de Liquidacion: Re-Liquidacion Final (L3)"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/abr/2019 11:25:47 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","06/04/2016","18","1121.639","40.901","0.461","4162.776","16017.548","190.345","632.979","7722.927","783.185","4009.842","1399.696"
"SEN","06/04/2016","19","1074.965","18.108","0.442","4154.25","15820.348","204.396","653.665","7005.89","783.024","3997.595","1407.681"
"SEN","06/04/2016","20","1230.366","3.511","0.417","4162.796","15873.016","211.337","648.966","6547.555","783.434","4099.916","1420.789"
"SEN","06/04/2016","21","1403.719","0.018","0.43","4177.017","15869.313","218.679","649.066","7980.682","784.496","4159.899","1427.492"
"SEN","06/04/2016","22","1576.924","0","0.456","4125.986","15963.913","214.828","652.289","7620.852","785.725","4213.605","1423.615"
"SEN","06/04/2016","23","1707.555","0","0.38","4148.799","16058.78","210.774","658.68","6662.294","786.662","4205.706","1365.535"
"SEN","06/04/2016","24","1708.512","0","0.403","4154.988","15916.155","207.398","648.658","5299.095","788.1","4171.047","1373.22"
"SEN","07/04/2016","1","1602.965","0","0.403","4142.828","15567.492","207.019","630.445","3756.793","788.813","4087.608","1360.266"
"SEN","07/04/2016","2","1637.026","0","0.48","4147.838","15333.721","185.968","650.389","2453.174","789.274","3948.047","1487.473"
"SEN","07/04/2016","3","1697.745","0","0.483","4147.398","15469.709","195.738","665.299","2025.299","789.445","3473.562","1454.305"
"SEN","07/04/2016","4","1664.869","0","0.455","4115","15359.759","197.012","665.379","1802.198","789.617","3259.724","1477.589"
"SEN","07/04/2016","5","1645.311","0","0.454","4150.757","15323.235","197.873","667.994","1529.928","790.102","3521.263","1471.956"
"SEN","07/04/2016","6","1636.268","0","0.418","4147.511","15366.238","202.536","669.049","1713.102","790.165","3643.279","1497.923"
"SEN","07/04/2016","7","1625.871","0.022","0.45","4151.418","15460.844","211.508","669.912","2640.537","789.916","3952.308","1458.851"
"SEN","07/04/2016","8","1668.656","0.249","0.46","4172.411","15620.524","208.831","668.219","3710.425","790.178","4024.505","1484.243"
