"SEN","02/03/2026","18","4081.0279","4066.1683","23.8135","946.1447","23946.7397","357.1319","356.8457","3796.6181","1491.5514","2881.384","1694.6316"
"SEN","02/03/2026","19","4412.4612","873.9986","21.4288","987.1348","25325.8189","387.1076","358.3651","4846.111","1493.7873","3107.2581","1751.8697"
"SEN","02/03/2026","20","4640.9283","33.1345","26.0909","1005.0071","25425.9437","666.6822","359.3856","6143.552","1497.2531","3148.3533","1757.568"
"SEN","02/03/2026","21","4725.0388","24.4887","25.025","976.3829","25047.2345","706.1126","360.0867","6445.6615","1502.6526","3200.9855","1755.2044"
"SEN","02/03/2026","22","4725.3511","16.9191","25.1724","979.6378","24316.8476","649.8597","354.903","6297.5141","1508.1897","3251.843","1785.1231"
"SEN","02/03/2026","23","4713.5441","14.1643","26.5565","978.6891","23867.06","487.0928","355.7762","5266.234","1511.8754","3312.7506","1777.9493"
"SEN","02/03/2026","24","4689.6965","12.0671","22.533","984.0384","23856.5352","233.1634","357.2572","3940.1027","1515.2356","3332.1604","1691.4058"
"SEN","03/03/2026","1","4623.3443","1.5891","19.7528","868.2884","23472.7701","225.927","359.2053","2830.7092","1518.1748","3156.1516","1440.6744"
"SEN","03/03/2026","2","4428.6907","0.0011","23.2753","788.1382","22847.0816","225.1408","359.3281","2435.6267","1520.1249","3013.9771","1390.9935"
"SEN","03/03/2026","3","4135.5832","0.0011","25.4316","798.6384","21957.3841","217.5776","359.024","2577.4489","1521.3404","2842.6305","1361.898"
"SEN","03/03/2026","4","3938.7717","0.0009","22.5079","800.3323","21768.2941","245.288","359.0827","2559.629","1522.6239","2829.2367","1290.2595"
"SEN","03/03/2026","5","3998.8618","0.0007","20.4702","805.8331","21625.9211","232.3627","358.3773","2490.9953","1523.4008","2824.9473","1146.3988"
"SEN","03/03/2026","6","4259.697","0.0015","20.9346","812.6622","21843.981","237.2315","359.0969","2544.9593","1524.0062","2833.4526","1160.9999"
